date,A,B,C,D
2026-03-28,-148.578233,1570.259734,2856.003337,172.466266
2026-03-29,3261.723916,-2876.542492,-2442.244644,2111.600183
2026-03-30,-2777.86019,8021.838752,1113.363569,-2670.871044
2026-03-31,-2261.976323,17989.232396,4428.552814,-4002.115931
2026-04-01,-2261.976323,17989.232396,4428.552814,0.0
2026-04-02,-2720.899035,17678.193831,3461.462136,0.0
2026-04-03,-2720.173956,17678.193831,3462.908646,0.0
2026-04-04,-2694.283872,17678.193831,3222.87815,0.0
2026-04-05,-2715.73147,17678.193831,3290.070143,0.0
2026-04-06,-2261.976323,17678.193831,3165.199444,0.0
2026-04-07,-2261.976323,17678.193831,3165.199444,0.0
2026-04-08,-2550.281846,17678.193831,3165.199444,-501.607423
2026-04-09,-2550.281846,17678.193831,3165.199444,-501.607423
2026-04-10,-2815.755471,17808.110076,3371.32202,-426.879869
2026-04-11,-2731.316026,17555.508434,3157.955122,-311.907533
2026-04-12,-2810.081408,17054.987491,3033.103132,219.057581
2026-04-13,360.232543,-396.854283,-929.884838,-316.443048
